allocated CHIP memory @0x7a080, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a280, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
freed memory 0x79a80, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x79c80, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x79e80, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7a080, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7a280, size 512 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x2ea968, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:106)
allocated FAST memory @0x2ea968, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x79a80, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a1e8, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a950, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7b0b8, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7b820, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x21f548, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x7bf88, size 1890 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eaa50, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eaa68, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x7c6f0, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7ce58, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7d5c0, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7dd28, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7e490, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
freed memory 0x79a80, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7a1e8, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7a950, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7b0b8, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7b820, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x2ea968, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:106)
freed memory 0x7bf88, size 1890 (D:\prg\_git\ace\ace\utils\bitmapmask.c:48)
freed memory 0x21f548, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:49)
freed memory 0x7c6f0, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7ce58, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7d5c0, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7dd28, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x7e490, size 1890 (D:\prg\_git\ace\ace\utils\bitmap.c:105)
freed memory 0x2eaa68, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:106)
freed memory 0x2eaa50, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:40)
allocated FAST memory @0x2ea968, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x79a80, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79d80, size 768 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
